#NEGATIVE_LEXICON	STRENGTH-ASSIGNED
dissonance	-0.3
dissonant	-0.7
dissonate	-0.3
dissuade	-0.3
dissuasive	-0.2
distains	-0.1
distant	-0.1
distaste	-0.3
distasteful	-0.7
distastefully	-0.7
distort	-0.8
distorted	-0.5
distorting	-0.6
distortion	-0.5
distorts	-0.4
distract	-0.4
distracted	-3
distracting	-0.5
distraction	-0.3
distraught	-0.7
distraughtly	-0.6
distraughtness	-0.5
distress	-0.9
distressed	-0.6
distresses	-0.7
distressing	-1
distressingly	-0.9
distrust	-0.5
distrustful	-0.5
distrusting	-0.6
disturb	-0.5
disturbance	-0.4
disturbed	-0.5
disturbed-let	-0.2
disturbing	-1
disturbingly	-1
disturbs	-0.3
disunity	-0.5
disused	-0.1
disvalue	-0.4
ditch	-0.4
ditched	-0.6
dither	-0.4
dithering	-0.3
divergent	-0.2
diversification	-0.4
diversion	-0.1
divert	-0.1
diverticulitis	-0.8
diverting	-0.3
divested	-0.5
divestiture	-0.3
divestment	-0.3
divided	-0.4
diviner	-0.3
division	-0.1
divisive	-0.6
divisively	-0.2
divisiveness	-0.5
divorce	-0.4
divorced	-0.9
dizziness	-0.4
dizzingly	-0.4
dizzy	-0.5
dmb	-1
dmv	-0.1
docked	-0.4
doctrinaire	-0.4
doddering	-0.2
dodge	-0.2
dodgey	-0.7
dodging	-0.6
dodgy	-0.8
dodo	-0.4
does not work	-0.4
dogbane	-0.4
dogfight	-0.5
dogged	-0.2
doggedly	-0.4
doggerel	-0.1
dogmatic	-0.5
dogmatist	-0.5
dogsbody	-0.3
doit	-0.3
doldrums	-0.3
doleful	-0.7
dolefully	-0.7
dolorous	-0.6
dominance	-0.4
dominant	-0.1
dominate	-0.6
dominated	-0.6
domination	-0.4
domineer	-0.5
domineering	-0.5
dominion	-0.5
donkey	-0.2
donside	-0.3
dontyouhate	-0.6
dookie	-0.9
doom	-0.9
doomed	-1
doomsday	-1
doped	-0.5
dork	-1
dosent	-0.2
dotage	-0.6
double-cross	-0.6
doublethink	-0.4
doubt	-0.7
doubted	-0.2
doubtful	-0.7
doubtfully	-0.7
doubting	-0.5
doubts	-0.4
douche	-0.9
douchebag	-1
douchebags	-1
dour	-0.5
douse	-0.1
downbeat	-0.5
downbound	-0.1
downcast	-0.4
downer	-0.4
downfall	-0.1
downfallen	-0.6
downgrade	-0.5
downhearted	-0.5
downheartedly	-0.7
downheartedness	-0.5
downhill	-0.1
downmarket	-0.2
downscale	-0.3
downshift	-0.2
downside	-0.1
downsides	-0.4
downspin	-0.4
downstroke	-0.2
downtrodden	-0.3
downturn	-0.3
downturns	-0.3
downward	-0.1
doze	-0.2
draco	-0.2
draconian	-0.2
draconic	-0.7
drag	-0.2
dragged	-0.4
dragging	-0.1
dragons	-0.2
dragoon	-0.3
drain	-0.1
drainage	-0.4
drained	-0.8
drains	-0.2
dramatic	-0.6
dramatically	-0.7
drastically	-0.3
drawback	-0.5
drawbacks	-0.6
dread	-1
dreaded	-0.9
dreadful	-1
dreadfully	-1
dreadfulness	-0.9
dreading	-0.9
drearily	-0.8
dreariness	-0.6
dreary	-0.3
dreck	-0.3
drinking	-0.2
dripped	-0.5
dripping	-0.4
drips	-0.2
drivel	-0.2
drizzling	-0.1
droop	-0.2
drooping	-0.1
droops	-0.4
drop	-0.3
dropout	-0.4
drop-out	-0.7
dropouts	-0.4
drop-outs	-0.5
dropped	-0.3
dropping	-0.3
drosera	-0.1
drought	-0.4
drown	-0.7
drowned	-0.6
drowning	-0.6
drowse	-0.2
drowsiness	-0.2
drowsy	-0.2
drudgery	-0.5
drudging	-0.4
drugged-out	-0.8
drunk	-0.2
drunkard	-0.3
drunken	-0.4
drunkenly	-0.7
drunkenness	-0.3
dry	-0.3
dryness	-0.2
dubious	-0.5
dubiously	-0.3
dubitable	-0.4
ductile	-0.4
dud	-0.2
dudgeon	-0.5
duel	-0.4
dueler	-0.3
duh	-0.4
dull	-0.6
dullard	-0.8
dulled	-0.6
dullness	-0.6
dully	-0.6
dumb	-0.9
dumbass	-1
dumbfound	-0.8
dumbfounded	-0.8
dummy	-0.9
dump	-0.6
dumped	-1
dumpiness	-0.5
dumping	-0.4
dumps	-0.4
dumpy	-0.5
dunce	-0.8
dung	-1
dungeon	-0.4
dungeons	-0.6
dunno	-0.4
dupe	-0.4
duped	-0.4
dupery	-0.6
duress	-0.3
dust	-0.4
dustiness	-0.4
dustpan	-0.3
duty	-0.5
dwarfed	-0.5
dwarfism	-0.5
dwindle	-0.2
dwindling	-0.2
dying	-1
dysarthria	-0.8
dyscrasia	-0.8
dysentery	-0.8
dysfunction	-0.5
dysfunctional	-0.4
dysgraphia	-0.8
dyslectic	-0.8
dyslexia	-0.8
dyslexic	-0.8
dyslogistic	-0.5
dysmenorrhea	-0.5
dysomia	-0.5
dyspeptic	-0.5
dysphagia	-0.5
dysphasia	-0.5
dysphemism	-0.6
dysphemistic	-0.6
dysphoria	-0.6
dysphoric	-0.6
dysplasia	-0.8
dysplastic	-0.8
dyspnea	-0.8
dystopia	-0.8
dystopian	-0.8
dysuria	-0.8
e3	-0.4
eared	-0.5
earsplitting	-0.4
earthquake	-0.6
eavesdropping	-0.5
ebola	-0.8
eclampsia	-0.8
ectomorph	-0.4
eczema	-0.5
edacity	-0.3
edema	-0.8
edematous	-0.8
edgy	-0.5
edict	-0.3
eeek	-0.6
eek	-0.6
eep	-0.3
eerie	-0.9
eerily	-0.9
eery	-0.7
effeminacy	-0.6
effeminate	-0.6
effigy	-0.4
effing	-0.7
effortful	-0.4
effortfulness	-0.4
effrontery	-0.4
effusion	-0.4
ego	-0.4
egocentric	-0.3
egoism	-0.4
egoistic	-0.4
egomania	-0.3
egotism	-0.6
egotistic	-0.4
egotistical	-0.5
egregious	-0.3
egregiously	-0.5
eh	-0.4
ehh	-0.5
ehhh	-0.6
ejaculate	-0.3
eject	-0.4
ejection	-0.4
election-rigger	-0.4
elegiac	-0.5
elf	-0.3
elfin	-0.4
eliminate	-0.3
eliminated	-0.4
elimination	-0.2
eliminator	-0.1
elude	-0.2
elusive	-0.2
elusiveness	-0.2
elves	-0.2
emaciate	-0.5
emaciated	-0.3
emasculate	-0.5
embarassment	-0.7
embargo	-0.2
embarrass	-0.7
embarrassed	-0.5
embarrasses	-0.8
embarrassing	-0.5
embarrassingly	-0.4
embarrassment	-0.8
embattled	-0.3
embezzlement	-0.3
embezzler	-0.5
embitter	-0.3
embitterment	-0.3
embolic	-0.4
embolism	-0.4
embolus	-0.4
embroil	-0.2
embroiled	-0.2
embroilment	-0.4
emergency	-1
emetic	-0.8
emotional	-0.1
emotionally	-0.2
emotionally-invested	-0.3
emotionless	-0.2
empathize	-0.3
emphatic	-0.1
emphatically	-0.6
emphysema	-0.8
emphysematous	-0.8
emptiness	-0.2
empty	-0.3
enamored	-0.4
enclave	-0.2
encopresis	-0.4
encroach	-0.3
encrust	-0.1
encumbrance	-0.6
endanger	-0.6
endangered	-0.6
endemic	-0.7
endless	-0.2
endlessly	-0.1
endomorphy	-0.5
enemies	-0.7
enemy	-0.6
enervate	-0.5
enervation	-0.4
enfeeble	-0.6
enflame	-0.5
enforce	-0.2
enforcement	-0.1
engulf	-0.3
enigmatic	-0.3
enjoin	-0.3
enlarged	-0.1
enmity	-0.3
ennui	-0.2
enormities	-0.3
enormity	-0.1
enrage	-0.9
enraged	-1
enrages	-0.7
enslave	-1
enslaved	-0.7
enslavement	-0.7
enslaves	-0.8
ensnare	-0.7
entangle	-0.3
entangled	-0.4
entanglement	-0.3
enteroptosis	-0.8
enterostenosis	-0.8
entomophobia	-0.8
entrails	-0.3
entrapment	-0.6
entreat	-0.4
enuff	-0.3
enuresis	-0.4
enviable	-0.5
enviably	-0.6
envies	-0.6
envious	-0.4
enviously	-0.5
enviousness	-0.3
envy	-0.6
envying	-0.4
epicfail	-1
epidemic	-0.8
epididymitis	-0.8
epiglottitis	-0.8
epigone	-0.5
epilepsy	-0.8
epileptic	-0.8
epimorphic	-0.8
epithet	-0.4
equivocal	-0.2
equivocation	-0.2
eradicate	-0.5
eradication	-0.6
erase	-0.3
erased	-0.4
ergh	-0.6
ergot	-0.8
ergotamine	-0.1
ergotic	-0.8
ergotism	-0.8
erm	-0.2
erode	-0.2
eroded	-0.3
erodes	-0.3
erosion	-0.2
err	-0.4
errant	-0.4
erratic	-0.4
erratically	-0.8
erratum	-0.2
erroneous	-0.4
erroneously	-0.3
erroneousness	-0.4
error	-0.5
errors	-0.2
errr	-0.4
ersatz	-0.3
erupt	-0.2
eruption	-0.3
eruptions	-0.5
eruptive	-0.2
erythema	-0.8
erythematous	-0.8
erythroblastosis	-0.8
erythroderma	-0.8
escapade	-0.3
escape	-0.4
escapes	-0.3
escaping	-0.5
eschew	-0.3
estrange	-0.4
estranged	-0.5
etiolate	-0.4
etiolation	-0.4
eugh	-0.4
eunuch	-0.5
euphemism	-0.4
euphemistic	-0.4
euphemize	-0.4
eurgh	-0.4
euthanasia	-0.9
evacuate	-0.4
evacuated	-0.5
evacuates	-0.4
evacuating	-0.7
evacuation	-0.3
evacuee	-0.2
evade	-0.4
evasion	-0.4
evasive	-0.4
evasively	-0.4
evergreening	-0.2
evict	-0.4
eviction	-0.7
evil	-1
evildoer	-0.9
evils	-1
eviscerate	-0.8
eww	-1
ewww	-1
ewwww	-1
exacerbate	-0.2
exacerbates	-0.3
exacerbating	-0.3
exacerbation	-0.8
exacting	-0.1
exagerate	-0.4
exagerated	-0.2
exaggerate	-0.3
exaggerated	-0.3
exaggerates	-0.2
exaggerating	-0.2
exaggeration	-0.4
examination	-0.1
exasparate	-0.3
exasperate	-0.3
exasperated	-0.4
exasperates	-0.4
exasperating	-0.4
exasperation	-0.3
excavation	-0.3
exceptionable	-0.2
excess	-0.1
excessive	-0.4
excise	-0.3
exclaim	-0.1
excluded	-0.3
excluding	-0.3
exclusion	-0.1
excommunication	-0.2
excoriate	-0.3
excoriation	-0.6
excrement	-0.6
excrescent	-0.5
excruciating	-0.8
excruciatingly	-0.7
excuse	-0.2
excuses	-0.3
execrable	-0.3
execrate	-0.4
execration	-0.8
executability	-0.9
execute	-1
execution	-0.9
executioner	-0.8
exempt	-0.2
exhaust	-0.4
exhausted	-0.5
exhausting	-0.5
exhaustion	-0.4
exhausts	-0.5
exhorbitant	-0.5
exhort	-0.4
exigent	-0.2
exiguous	-0.3
exile	-0.8
exit	-0.1
exodus	-0.5
exorbitantance	-0.2
exorcism	-0.1
expedience	-0.5
expediencies	-0.2
expedient	-0.3
expedition	-0.2
expeditionary	-0.2
expel	-0.5
expelled	-0.6
expelling	-0.3
expendable	-0.1
expenditure	-0.5
expense	-0.1
expensive	-0.6
expensively	-0.7
expensiveness	-0.7
expire	-0.2
expired	-0.2
expletive	-0.5
explicit	-0.1
explode	-0.3
exploded	-0.5
exploit	-0.6
exploitation	-0.5
exploitative	-0.4
exploitatively	-0.3
exploited	-0.6
exploiter	-0.5
exploiting	-0.6
exploits	-0.6
explosion	-0.3
explosive	-0.3
expose	-0.2
exposed	-0.5
exposes	-0.3
exposing	-0.3
expropriate	-0.3
expropriation	-0.4
expulse	-0.4
expulsion	-0.5
expunge	-0.4
exsiccate	-0.1
extenuate	-0.1
extenuation	-0.1
exterminable	-0.6
exterminate	-0.8
extermination	-0.7
extinct	-0.2
extinction	-0.7
extinguish	-0.4
extinguishable	-0.4
extirpate	-0.5
extirpation	-0.6
extort	-0.6
extortion	-0.6
extrajudicial	-0.3
extralegal	-0.6
extramural	-0.4
extraneous	-0.3
extreme	-0.3
extremeness	-0.3
extremism	-0.9
extremist	-0.9
extremists	-0.8
extremity	-0.4
eyeless	-0.2
eyelessness	-0.2
fabricate	-0.6
fabricated	-0.6
fabrication	-0.6
facepalm	-1
facetious	-0.6
facetiously	-0.6
facile	-0.3
fad	-0.2
faddist	-0.2
fadeout	-0.4
fading	-0.1
faecal	-0.6
faeces	-0.9
fag	-1
faggots	-0.9
fagot	-0.9
fail	-0.8
failed	-1
failing	-0.8
fails	-0.8
failure	-0.8
failures	-0.9
faineant	-0.4
faint	-0.4
fainthearted	-0.7
fainting	-0.5
faintly	-0.5
faintness	-0.4
faithless	-0.2
faithlessness	-0.2
fake	-0.7
faker	-0.4
fakery	-0.5
fakes	-0.7
faking	-0.5
fall	-0.2
fallacies	-0.5
fallacious	-0.4
fallaciously	-0.4
fallaciousness	-0.4
fallacy	-0.4
fallen	-0.5
faller	-0.4
fallibility	-0.4
fallible	-0.2
fallin	-0.8
falling	-0.4
fallout	-0.4
fallow	-0.2
falls	-0.4
falls-off	-0.5
falsehood	-0.5
falsely	-0.5
falsie	-0.5
falsification	-0.5
falsified	-0.5
falsifier	-0.5
falsify	-0.5
falsity	-0.5
falter	-0.6
faltered	-0.8
faltering	-0.6
famine	-0.7
famished	-0.7
fanatic	-0.5
fanatical	-0.5
fanatically	-0.3
fanaticism	-0.4
fanatics	-0.1
fang	-0.4
far	-0.2
faraway	-0.1
farce	-0.2
farcical	-0.6
farcically	-0.2
farcical-yet-provocative	-0.3
farfetched	-0.2
far-fetched	-0.2
farness	-0.2
fart	-0.8
fascism	-0.8
fascist	-0.7
fascists	-0.7
fast-food	-0.1
fastidious	-0.1
fasting	-0.4
fastuous	-0.3
fat	-0.7
fatal	-0.8
fatalistically	-0.8
fatalities	-1
fatality	-1
fatally	-1
fat-cat	-0.3
fatcats	-0.5
fat-cats	-0.3
fateful	-0.1
fatefully	-0.3
fatherless	-0.3
fathomless	-0.3
fatigability	-0.4
fatigue	-0.5
fatigued	-0.5
fatigues	-0.7
fatiguing	-0.5
fatique	-0.7
fatten	-0.5
fattening	-0.5
fattish	-0.5
fatty	-0.6
fatuity	-0.6
fatuous	-0.4
fatuously	-0.6
fault	-0.4
faultfinding	-0.4
faultily	-0.4
faults	-0.3
faulty	-0.5
fawn	-0.2
fawningly	-0.4
faze	-0.2
fck	-1
fear	-0.9
fearful	-0.9
fearfully	-0.8
fearfulness	-0.9
fearing	-0.5
fears	-0.8
fearsome	-0.7
fearsomely	-0.9
featureless	-0.4
febrile	-0.2
fecal	-0.7
feces	-0.8
feckless	-0.3
fecklessly	-0.3
fecklessness	-0.3
feculence	-0.4
feculent	-0.4
fed up	-0.4
fed-up	-0.7
fee	-0.1
feeble	-0.6
feeblely	-0.3
feebleminded	-0.6
feebleness	-0.5
feebly	-0.6
feign	-0.4
feigned	-0.4
feint	-0.4
felon	-0.7
felonies	-0.6
felonious	-0.8
felony	-0.5
feral	-0.4
ferment	-0.2
ferocious	-0.8
ferociously	-0.7
ferocity	-0.4
fester	-0.8
feud	-0.5
feudal	-0.4
feudalism	-0.3
fever	-0.8
feverish	-0.8
feverishly	-0.8
fevers	-0.7
fever-wracked	-0.8
fey	-0.6
ffs	-0.6
fiasco	-0.4
fiat	-0.1
fib	-0.3
fibber	-0.1
fibbing	-0.3
fibrillate	-0.2
fibrillation	-0.2
fic	-0.5
fickle	-0.2
fictional	-0.1
fictitious	-0.4
fiddling	-0.4
fidget	-0.3
fidgety	-0.5
fiend	-0.6
fiendish	-0.8
fierce	-0.2
fiercely	-0.2
fieriness	-0.2
fight	-0.5
fighter	-0.4
fighting	-0.3
figurehead	-0.3
filibuster	-0.3
filth	-0.9
filthiness	-0.9
filthy	-0.9
finagle	-0.3
finagler	-0.5
fing	-0.2
finicky	-0.4
firebomb	-0.5
fired	-0.3
firestorm	-0.5
firetrap	-0.4
firing	-0.2
fishy	-0.6
fissures	-0.4
fist	-0.4
fistula	-0.8
fitful	-0.5
fitfulness	-0.5
fits	-0.7
fk	-0.9
flab	-0.4
flabbergast	-0.5
flabbergasted	-0.3
flabbiness	-0.4
flabby	-0.4
flaccid	-0.3
flagellant	-0.2
flagellate	-0.2
flagging	-0.2
flagitious	-0.8
flagrant	-0.3
flail	-0.3
flair	-0.5
flairs	-0.4
flak	-0.3
flake	-0.4
flakey	-0.7
flakieness	-0.6
flakiness	-0.4
flaking	-0.6
flaky	-0.6
flamboyant	-0.4
flamboyantly	-0.3
flamer	-0.3
flammable	-0.4
flap	-0.1
flares	-0.3
flareup	-0.2
flareups	-0.4
flashily	-0.4
flat-footed	-0.3
flatly	-0.3
flat-out	-0.4
flattery	-0.2
flatulence	-0.4
flaunt	-0.5
flavorlessness	-0.4
flaw	-0.6
flawed	-0.8
flaws	-0.7
flea	-0.5
fleabag	-0.7
fled	-0.4
flee	-0.4
fleed	-0.4
fleer	-0.2
flees	-0.3
fleshiness	-0.4
fleshy	-0.3
flicering	-0.3
flicker	-0.1
flickers	-0.2
flightless	-0.5
flighty	-0.6
flimflam	-0.3
flimsily	-0.5
flimsiness	-0.5
flimsy	-0.5
flinch	-0.3
flippancy	-0.4
flippant	-0.4
flipping	-0.3
flog	-0.8
flood	-0.4
floppy	-0.2
flops	-0.3
flounder	-0.2
floundering	-0.3
flu	-0.4
fluster	-0.4
flustered	-0.3
flyblown	-0.5
fml	-1
foe	-0.7
fogged	-0.1
foible	-0.3
foiled	-0.3
fomo	-0.5
foo	-0.6
fool	-1
fooled	-0.8
foolhardy	-0.7
foolish	-0.9
foolishly	-0.8
foolishness	-1
fools	-0.8
foray	-0.6
forbid	-0.3
forbidding	-0.4
forbiddingly	-0.3
force	-0.2
forced	-0.2
forceful	-0.5
forcefully	-0.4
forceless	-0.2
forcibly	-0.5
forcing	-0.7
foreboding	-0.4
forebodingly	-0.4
foreclose	-0.4
foreclosure	-0.7
foreclosures	-0.3
forego	-0.1
forewarned	-0.8
forfeit	-0.2
forfeiture	-0.4
forge	-0.4
forged	-0.4
forgery	-0.7
forget	-0.2
forgetful	-0.1
forgetfully	-0.3
forgetfulness	-0.3
forgettable	-0.5
forgot	-0.5
forgotten	-0.3
forlon	-0.3
forlorn	-0.4
formaldehyde	-0.4
formless	-0.3
fornication	-0.7
forsake	-0.3
forswear	-0.3
fought	-0.6
foul	-0.4
foully	-0.6
foulness	-0.6
fractious	-0.4
fractiously	-0.4
fracture	-0.4
fragile	-0.4
fragility	-0.5
fragmentary	-0.2
fragmented	-0.3
frail	-0.6
frailty	-0.6
frantic	-0.6
frantically	-0.7
franticly	-0.3
fraternize	-0.3
fraud	-0.6
frauds	-0.7
fraudster	-0.5
fraudsters	-0.6
fraudulence	-0.6
fraudulent	-0.5
fraught	-0.6
fray	-0.4
frayed	-0.1
frazzle	-0.5
frazzled	-0.5
freak	-0.5
freaked	-0.6
freaking	-0.4
freakish	-0.7
freakishly	-0.8
freaks	-0.5
freaky	-0.4
freezes	-0.1
freeze-ups	-0.5
freezing	-0.5
frenetic	-0.4
frenetically	-0.4
frenzy	-0.3
fretful	-0.3
frets	-0.3
friction	-0.3
frictions	-0.4
friendless	-0.2
friendlessness	-0.2
friggin	-0.7
fright	-0.8
frighten	-0.9
frightened	-0.7
frightening	-0.8
frighteningly	-0.6
frightful	-1
frightfully	-0.8
frigid	-0.7
frigorific	-0.2
frikin	-0.5
frilly	-0.4
frisk	-0.2
frisson	-0.1
frivolous	-0.6
frore	-0.2
frost	-0.1
frostbite	-0.6
frostbitten	-0.4
frostiness	-0.1
froth	-0.4
frothy	-0.3
froward	-0.4
frown	-0.4
frowning	-0.6
frowsy	-0.4
froze	-0.1
frozen	-0.2
fruitlessly	-0.3
fruitlessness	-0.4
frump	-0.6
frustrate	-0.3
frustrated	-0.8
frustrates	-0.8
frustrating	-0.7
frustratingly	-0.7
frustration	-0.7
frustrations	-0.4
ftl	-0.8
fu	-1
fuck	-1
fuckboi	-0.6
fuckboy	-0.6
fucked	-1
fucker	-1
fuckers	-1
fuckface	-1
fuckhead	-1
fuckin	-1
fucking	-0.6
fucktard	-1
fud	-0.3
fugitive	-0.6
fugly	-1
fuking	-2
fulgurating	-0.2
fullback	-0.1
full-blown	-0.1
fulminant	-0.3
fulmination	-0.5
fulsomeness	-0.3
fumble	-0.2
fume	-0.2
fumed	-0.2
fumes	-0.3
fuming	-0.3
fundamentalism	-0.4
funeral	-0.6
funerals	-0.7
funerary	-0.5
fungus	-0.1
funk	-0.3
funky	-0.3
funnily	-0.1
furiously	-0.5
furor	-0.6
furtive	-0.2
furtiveness	-0.2
fury	-1
fuss	-0.5
fussy	-0.5
fustigate	-0.5
fusty	-0.6
futile	-0.4
futilely	-0.4
futility	-0.5
futureless	-0.6
fuzzy	-0.3
gabble	-0.4
gaby	-0.2
gadfly	-0.6
gaffe	-0.3
gag	-0.5
gagged	-0.4
gaggle	-0.2
gah	-0.5
gahh	-0.4
gahhh	-0.5
gahhh 	-0.6
gainsay	-0.4
gainsayer	-0.4
galere	-0.5
galling	-0.2
gallingly	-0.6
gallows	-0.3
galls	-0.3
galoot	-0.5
gambler	-0.3
gambling	-0.2
gamey	-0.2
gamine	-0.3
gaminess	-0.3
gammy	-0.3
gang	-0.2
gangrene	-0.8
gangrenous	-0.8
gangs	-0.8
gangster	-0.5
gaol	-0.3
gape	-0.3
garbage	-1
garden-variety	-0.3
garish	-0.4
garishness	-0.3
gash	-0.3
gasp	-0.4
gasping	-0.5
gassing	-0.2
gauche	-0.4
gaudy	-0.3
gaunt	-0.1
gawky	-0.5
gay	-0.5
gazump	-0.5
geek	-0.7
geeky	-0.6
geez	-0.8
geezer	-0.4
generically	-0.1
genocide	-1
geriatric	-0.4
germ	-0.5
germs	-0.7
get-rich	-0.1
ghastliness	-0.7
ghastly	-0.8
ghetto	-0.3
ghost	-0.3
ghosting	-0.6
ghostly	-4
ghoul	-0.4
ghoulish	-0.5
gibberish	-0.5
gibe	-0.3
giddy	-0.4
gigo	-0.4
gimmick	-0.2
gimmicked	-0.4
gimmicking	-0.3
gimmicks	-0.3
gimmicky	-0.4
gimp	-0.4
gin-soaked	-0.5
glacial	-0.1
glaring	-0.2
glaringly	-0.4
gleak	-0.4
glib	-0.4
glibly	-0.4
glitch	-0.4
glitches	-0.2
gloat	-0.4
gloatingly	-0.2
gloom	-0.6
gloominess	-0.6
glooming	-0.6
gloomy	-0.7
glossoptosis	-0.4
glower	-0.4
glum	-0.4
glut	-0.2
gluttony	-0.4
gnarl	-0.5
gnarled	-0.5
gnawing	-0.3
goad	-0.2
goading	-0.4
goblin	-0.5
godawful	-1
god-awful	-1
goddam	-0.5
goddamned	-0.9
godforsaken	-0.4
god-knows-what	-0.5
godless	-0.2
goldbrick	-0.2
golddigger	-0.8
gon	-0.4
goner	-0.8
gonorrhea	-1
goo	-0.3
gooey	-0.4
goof	-0.6
goofiness	-0.4
goofy	-0.6
goon	-0.9
gore	-1
gorge	-0.1
gorilla	-0.2
gory	-1
gosh	-0.5
gossip	-0.3
gouge	-0.7
gout	-0.8
gouty	-0.8
grab	-0.1
grabbed	-0.4
grabble	-0.3
graceless	-0.5
gracelessly	-0.4
gracelessness	-0.5
graft	-0.3
grainy	-0.4
grapple	-0.3
grasping	-0.3
grated	-0.5
gratuitous	-0.6
gratuitously	-0.3
grave	-0.6
gravelly	-0.4
gravely	-0.8
graveness	-0.5
grease	-0.3
greasily	-0.3
greasiness	-0.4
greasy	-0.4
greed	-0.8
greedily	-0.5
greediness	-0.6
greedy	-0.7
green wash	-0.3
green washing	-0.4
greenwash	-0.3
greenwasher	-0.1
grenade	-0.4
gridlock	-0.4
grief	-0.6
grievance	-0.6
grievances	-0.7
grieve	-0.6
grieved	-0.6
grieving	-0.9
grievous	-0.6
grievously	-0.5
griffon	-0.4
grim	-0.5
grimace	-0.8
grime	-0.5
griminess	-0.5
grimly	-0.2
grimy	-0.6
gripe	-0.5
gripes	-0.5
grisly	-0.4
gritty	-0.3
grizzly	-0.3
groan	-0.5
groaned	-0.3
groan-inducing	-0.3
groans	-0.5
grogginess	-0.4
gronk	-0.4
grope	-0.7
groping	-0.5
gropingly	-0.5
gross	-1
grossly	-0.6
grotesquely	-0.3
grouch	-0.7
grouchy	-0.7
groundless	-0.3
grouse	-0.3
growl	-0.4
growler	-0.4
growling	-0.4
grr	-0.3
grrr	-0.3
grudge	-0.5
grudging	-0.7
grudgingly	-0.7
gruesomely	-1
gruff	-0.4
gruffness	-0.5
gruff-voiced	-0.1
grumble	-0.3
grumbling	-0.4
grumpier	-0.6
grumpiest	-0.5
grumpily	-0.6
grumpish	-0.5
grumpy	-0.4
grungy	-0.4
grunt	-0.4
grunter	-0.4
gtfo	-0.7
gtho	-0.5
guerilla	-0.5
guerrilla	-0.3
guile	-0.5
guilt	-0.6
guiltily	-0.7
guilty	-0.8
guise	-0.2
gull	-0.4
gullibility	-0.5
gullible	-0.6
gully	-0.3
gun	-0.6
gunk	-0.1
gunmen	-0.6
gush	-0.4
gutless	-0.5
gutted	-0.6
gutter	-0.5
guzzling	-0.3
h1n1	-0.4
h1ni	-1
h8	-1
h8er	-1
hack	-0.5
hacked	-0.5
hacker	-0.5
hacking	-0.6
hackneyed	-0.4
hag	-0.9
haggard	-0.3
haggle	-0.4
haggler	-0.4
hail	-0.4
hairloss	-0.2
hairy	-0.3
haiz	-0.4
half-assed	-0.9
half-bad	-0.3
half-done	-0.3
half-drunk	-0.3
half-expected	-0.4
halfhearted	-0.6
halfheartedly	-0.7
half-naked	-0.2
halitosis	-0.4
hallucinate	-0.3
hallucination	-0.3
hallucinatory	-0.3
halp	-0.8
halting	-0.4
hammy	-0.3
hamper	-0.4
hampered	-0.4
hamstrung	-0.4
handicap	-0.6
handicapped	-0.3
hang	-0.4
hanging	-0.3
hangover	-0.2
hangry	-5
hangs	-0.7
hang-ups	-0.4
haphazard	-0.3
haphazardly	-0.3
hapless	-0.5
haplessly	-0.5
haplessness	-0.2
harangue	-0.4
haranguer	-0.5
harass	-0.6
harassed	-0.8
harasses	-0.7
harassing	-0.8
harassment	-0.6
harbinger	-0.2
harboring	-0.4
harbors	-0.4
hard	-0.5
hardball	-0.4
hardened	-0.3
harder	-0.8
hardheaded	-0.7
hardhearted	-0.7
hard-hit	-0.3
hardliner	-0.3
hard-liner	-0.4
hardliners	-0.4
hardly	-0.1
hardness	-0.4
hard-nosed	-0.3
hard-pressed	-0.1
hardship	-0.4
hardships	-0.3
hard-to-reach	-0.4
harebrained	-0.8
harlot	-0.3
harm	-0.9
harmed	-0.8
harmful	-0.9
harmfulness	-0.7
harming	-0.7
harms	-0.8
harpy	-0.5
harridan	-0.4
harried	-0.5
harrow	-0.6
harrowing	-0.4
harry	-0.2
harsh	-0.9
harsher	-0.7
harshest	-0.8
harshly	-0.9
harshness	-0.7
hash	-0.5
hashish	-0.3
hasseling	-0.4
hassle	-0.5
hassled	-0.2
hassles	-0.3
haste	-0.3
hastily	-0.5
hasty	-0.3
hate	-1
hated	-0.8
hateful	-1
hatefully	-1
hatefulness	-1
hater	-1
haters	-0.7
hates	-0.8
hatin	-1
hating	-1
haughtily	-0.6
haughtiness	-0.4
haughty	-0.5
haunt	-0.6
haunted	-0.8
haunting	-0.6
hauntingly	-1
haunts	-0.8
haveyouever	-0.5
havoc	-0.6
hawkish	-0.7
hayfever	-0.6
haywire	-0.3
hazard	-0.6
hazardous	-0.6
hazardousness	-0.6
haze	-0.3
hazily	-0.3
haziness	-0.3
hazmat	-0.6
hazy	-0.3
headache	-0.3
headache-inducing	-0.5
headaches	-0.7
head-aches	-0.5
head-nod-inducing	-0.4
headshake	-0.5
headshot	-0.5
heady	-0.4
hearing	-0.2
hearsay	-0.2
hearse	-0.3
heartache	-0.7
heartbreak	-0.5
heartbreaker	-0.7
heartbreakingly	-0.9
heartbroken	-0.8
heartburn	-0.7
heartburning	-0.7
heartless	-0.8
heartrending	-0.4
heat	-0.4
heated	-0.4
heathen	-0.3
heatless	-0.2
heavily	-0.3
heaviness	-0.3
heavy	-0.2
heavy-handedly	-0.3
heavyhearted	-0.5
heavyheartedness	-0.5
heavyish	-0.3
hebephrenia	-0.8
hebephrenic	-0.8
heck	-0.2
