#NEGATIVE_LEXICON	STRENGTH-ASSIGNED
babbling	-0.4
baboon	-0.3
bacchanalian	-0.3
backache	-0.4
backaches	-0.5
backaching	-0.5
backbite	-0.4
backbiting	-0.5
backfire	-0.4
backlash	-0.4
back-logged	-0.3
backseat	-0.4
backsliding	-0.4
backstair	-0.4
backward	-0.3
backwards	-0.3
backwater	-0.2
backwood	-0.1
back-wood	-0.2
back-woods	-0.4
bacteria	-0.5
bacterium	-0.4
bad	-0.5
bad luck	-0.6
badd	-1
badger	-0.1
badly	-0.6
badmouth	-0.6
badness	-0.6
baffle	-0.3
baffled	-0.4
bafflement	-0.3
baffling	-0.2
bah	-0.6
bail	-0.4
bailed	-0.5
bailee	-0.4
bailiff	-0.2
bailout	-0.5
bait	-0.4
baked-on	-0.3
balagan	-0.6
bald	-0.2
balderdash	-0.2
bale	-0.5
baleful	-0.8
balefully	-0.8
balk	-0.1
balkanize	-0.3
balker	-0.3
balkiness	-0.3
balking	-0.3
balky	-0.3
ballup	-0.2
balmy	-0.4
baloney	-0.3
bamboozle	-0.3
bamboozled	-0.3
bamboozles	-0.5
ban	-0.4
banal	-0.2
banality	-0.7
bandage	-0.4
bandit	-0.5
bandwagon	-0.1
bandy	-0.4
bane	-0.3
baneberry	-0.2
baneful	-0.8
banefully	-0.8
bang	-0.4
banger	-0.1
banish	-0.3
banished	-0.7
banishment	-0.3
bankrupt	-0.7
bankruptcy	-0.7
banned	-0.4
banshee	-0.3
barb	-0.2
barbarian	-0.3
barbaric	-0.8
barbarically	-0.7
barbarism	-0.7
barbarity	-0.7
barbarous	-0.4
barbarously	-0.7
barbed	-0.3
bare	-0.1
barf	-1
barf 	-1
barge	-0.3
bark	-0.2
barking	-0.4
barnburner	-0.4
barrage	-0.3
barrator	-0.3
barred	-0.2
barricade	-0.2
barrier	-0.2
barring	-0.4
baseless	-0.3
base-level	-0.4
baseness	-0.3
baser	-0.2
bashed	-0.3
bashful	-0.4
bashing	-0.5
basic	-0.1
bastard	-0.8
bastardization	-0.8
bastardize	-0.8
bastardly	-0.8
bastards	-0.8
basuco	-0.2
battalion	-0.6
batter	-0.4
battered	-0.6
battering	-0.5
battle	-0.5
battled	-0.7
battlefield	-0.6
battleful	-0.4
battleground	-0.4
battle-lines	-0.3
battlement	-0.7
battlemented	-0.7
battles	-0.6
battleship	-0.7
battling	-0.4
bawdry	-0.4
bawdy	-0.4
bawl	-0.3
bawler	-0.3
bayonet	-0.4
beaked	-0.3
bearable	-0.3
bearish	-0.2
beastliness	-0.4
beastly	-0.4
beat	-0.5
beaten	-0.5
beating	-0.4
bedfast	-0.6
bedimmed	-0.3
bedlam	-0.4
bedlamite	-0.6
bedraggled	-0.2
bedrest	-0.2
bedside	-0.4
beef	-0.2
bees	-0.3
befall	-0.4
